ID,location_name,lat,long
2353488,Yokiaré,10.85,-3.01667
2353489,Yoi,13.8072,0.12317
2353490,Yogadyoaga,12.70503,2.06318
2353491,Yoda,13.32911,-0.57536
2353492,Yobiri,11.76667,1.7
2353493,Yoba,13.42537,-1.81438
2353494,Yoatenga,12.33333,-0.28333
2353495,Yoada,13.73518,-2.17009
2353496,Yo,13.0263,-3.365
2353497,Yo,11.3,-1.0
2353498,Yo,11.25,-0.96667
2353499,Yô,11.05,-3.05
2353500,Yitenga,12.93333,-0.28333
2353501,Yisèpougo,12.71667,-2.75
2353502,Yirim,13.25199,-1.7777
2353503,Yéribou,13.51921,-2.15078
2353504,Yirané,12.71362,-1.20893
2353505,Yinou,13.30793,-1.89422
2353506,Yinga,11.58333,-2.26667
2353507,Yimouga,12.68333,-2.45
2353508,Yilou,13.01128,-1.54665
2353509,Yillialé,12.76667,-2.33333
2353510,Yilartenga,12.86953,-1.28677
2353511,Yikoudougo,12.43333,-0.71667
2353512,Yikoudgo,13.24475,-0.95432
2353513,Yikoudgo,13.09762,-1.49408
2353514,Yiérté,14.54058,-1.51893
2353515,Yétolo,10.55,-5.38333
2353516,Zétégomdé,12.95802,-1.95694
2353517,Yéssébé,10.31667,-4.01667
2353518,Yérimbou,12.13606,1.46182
2353519,Yérimbandi,12.35222,1.40264
2353520,Yérifoula-Dioula,10.47796,-3.58353
2353521,Yéridyon,12.41667,-2.68333
2353522,Yériba,11.46667,-0.63333
2353523,Yèrgué,14.08045,-2.19112
2353524,Yérégane,11.2,-3.05
2353526,Yéréfé,11.33333,-3.03333
2353527,Yéra,13.0089,-3.4421
2353528,Yépéla,10.65,-3.01667
2353529,Yéou,13.8449,-0.58513
2353530,Yansa Gonion,13.58574,-2.93422
2353531,Yansa,13.60129,-2.92804
2353532,Yenvédougou,12.93333,-3.96667
2353533,Yèntyaori,13.02132,0.14237
2353534,Yèntougoy Ekio,14.32613,0.1438
2353535,Yèntènga,12.03333,-0.06667
2353536,Yensouti,13.3185,0.33545
2353537,Yènsi,14.00991,-2.84658
2353538,Yènsèndini,12.01667,0.2
2353539,Yenkui,12.46667,-3.85
2353540,Yengué,11.20779,-4.44132
2353541,Yèndiparé,12.7012,2.0381
2353542,Yèndiboré,12.65668,1.97469
2353543,Forêt Classée de Yendéré,10.15,-5.06667
2353544,Yendéré,10.2,-4.96667
2353545,Yenbiro,10.18333,-3.43333
2353546,Yemsende,13.37566,-1.86783
2353547,Yèmbago,9.68333,-2.93333
2353548,Yélou,12.06722,-1.72681
2353549,Yelmanarlé,12.78333,-2.45
2353550,Yelkoto,13.32727,-1.71744
2353551,Yélintara,9.98333,-3.41667
2353552,Yélinfoybou,12.31667,0.63333
2353553,Yélimbiri,13.42105,0.44131
2353554,Yéli,12.6,-2.08333
2353555,Yélenbidou,12.81667,-0.21667
2353556,Yelémbassé,12.35,-0.28333
2353557,Yelbissi,11.0,-0.76667
2353558,Yéhon,11.3,-3.4
2353559,Yéguéresso,11.155,-4.15622
2353560,Yégueré,10.98406,-4.10242
2353561,Yébél Bakolanga,14.0323,0.22534
2353562,Yébélala,10.73333,-3.21667
2353563,Yébandé,14.3168,-0.1942
2353564,Yéaïri,13.44161,-2.9597
2353565,Yé,12.6,-3.11667
2353566,Yazougou,13.33411,-0.09023
2353567,Yaya,12.71667,-2.78333
2353568,Province du Yatenga,13.58333,-2.41667
2353569,Yaté,14.17057,-1.70857
2353570,Yatako,14.05143,0.35711
2353571,Yasso,12.36338,-4.02918
2353572,Yartenga,11.71667,-0.15
2353573,Yarsi,12.86667,-2.06667
2353574,Yarséyi,12.21667,-2.05
2353575,Yarsin,12.74756,-1.77147
2353576,Yarsé,13.61511,-0.88421
2353577,Yarsé,12.6587,-1.00911
2353578,Yargo,12.96415,-1.91783
2353579,Yarogo,12.88333,-2.46667
2353580,Toubré,12.84161,-1.5353
2353581,Yarogo,12.71411,-1.7213
2353582,Yarogo,11.81667,-1.28333
2353583,Yaroguin,12.39389,-1.98386
2353584,Yarobadé,12.98333,0.08333
2353585,Yaro,10.8,-3.45
2353586,Yaro,11.25,-1.2
2353587,Yarkaré,12.2,-0.13333
2353588,Yalka,13.44244,-2.49931
2353589,Yari,13.34824,-0.07835
2353590,Yargou,12.68333,0.48333
2353591,Yargo,13.63115,-2.64266
2353592,Yargo,13.46735,-1.55519
2353593,Yargo,13.39885,-2.60429
2353594,Yargo,13.1723,-1.85608
2353595,Yargo,13.05097,-1.37497
2353596,Yargo,12.7376,-1.29865
2353597,Yargo,12.65,-0.58333
2353598,Yargo,12.36667,-0.86667
2353599,Yargo,12.31667,-0.51667
2353600,Yargo,12.26667,-0.43333
2353601,Yargo,12.23333,-0.36667
2353602,Yargo,12.21667,-2.08333
2353603,Yargo,12.18333,-2.18333
2353604,Yargo,12.06667,-0.28333
2353605,Yargo,11.81667,-1.15
2353606,Yargatenga,11.2125,0.00528
2353607,Yarga,13.22768,-0.03164
2353608,Yaréyoumé,12.3,-0.06667
2353609,Séno Yarèndi,14.80505,-0.77394
2353610,Yarébila,12.81667,-2.0
2353611,Yarayé,13.2123,-4.2199
2353612,Yaran,13.428,-4.0018
2353613,Yaran,12.96667,-3.45
2353614,Yaramou,10.26667,-5.01667
2353615,Yaramoko,11.78823,-3.29249
2353616,Yapala,11.08333,-0.48333
2353617,Yaouren,12.56667,-0.75
2353618,Yaongo,12.62182,-0.26469
2353619,Yaogué,13.15997,-1.60529
2353620,Yaogo,12.56636,1.29929
2353621,Yaoguen,12.79031,-1.02746
2353622,Yaoghin,12.60268,-1.35277
2353623,Yaoghin,12.3298,-1.60734
2353624,Yaogen,12.23333,-2.1
2353625,Yaoghin,12.19377,-1.76279
2353626,Yanyonadé,13.18962,0.17514
2353627,Yanté Digna,14.15121,-2.17778
2353628,Yantara,13.42945,0.65042
2353629,Yansaré,12.09481,-1.43515
2353630,Yankoro,12.01667,-3.35
2353631,Yankasso,12.20581,-3.19934
2353632,Yanga,12.73354,-1.31263
2353633,Yanga,12.47786,-1.49954
2353634,Yanga,12.12515,-1.31368
2353635,Yanengué,12.59507,-1.51493
2353636,Yandima,12.66667,0.25
2353637,Yandéguen,12.26006,-1.97427
2353638,Yandaga,12.88112,-1.00779
2353639,Yamtohiga,12.7075,-1.79621
2353640,Yamtenga,12.34849,-1.44766
2353641,Yamou,12.03333,-3.33333
2353642,Yamotenga,12.56667,-0.8
2353643,Yamganguen,12.06667,-0.43333
2353644,Yamboumbou,14.12623,-2.09063
2353645,Yamba,12.52205,-1.4982
2353646,Yanmba,12.29745,0.33864
2353647,Yamanyé,13.18377,-1.73304
2353648,Yamanou,13.31809,1.10072
2353649,Yamana,12.81066,-1.32026
2353650,Yamako,11.93333,-1.03333
2353651,Yamagyo,12.6,-2.6
2353652,Yama,13.39675,0.92528
2353653,Yaltenga,12.95109,-1.90685
2353654,Yalshrika,13.13406,-0.35854
2353655,Yalgouéogo,12.90822,-1.00647
2353656,Yaloré,13.23664,-0.43513
2353657,Yalogwèngo,13.16307,-1.4121
2353658,Yalo Gourounga,11.95,-1.91667
2353659,Yalogo,12.48075,-1.0748
2353660,Yalogo,13.48008,-0.8225
2353661,Yalogo,12.53333,-0.6
2353662,Yalogen,12.81667,-0.58333
2353663,Yallo,12.98333,-3.93333
2353664,Yallé,13.37131,-2.27658
2353665,Yalkoum,13.49276,-0.11876
2353666,Yalka,13.49045,-2.56824
2353667,Yalka,13.4985,-1.54752
2353668,Yali,13.52337,0.44767
2353669,Yargo,12.94978,-1.26472
2353670,Yalgo,12.93333,-0.85
2353672,Yalga,13.48538,0.70523
2353673,Yalga,13.2674,-1.43688
2353674,Yaléma,14.6265,-1.24565
2353675,Yalé,11.23333,-1.96667
2353676,Yelbouga,11.11917,-1.91639
2353677,Yalatenga,12.79903,-1.52607
2353678,Yalasso,11.2,-3.9
2353679,Yalankoro,13.2683,-3.9172
2353680,Yalanga,14.27846,-1.04358
2353681,Yalaga,13.85993,-2.2551
2353682,Yakzougou,12.5,-2.18333
2353683,Yakranyimasso,10.61667,-5.28333
2353684,Yakouta,14.07584,-0.13689
2353685,Yakouba,11.46045,-4.27095
2353686,Yakoné,13.55413,-0.88226
2353687,Yako,11.6,-1.35
2353688,Yako,12.9591,-2.26075
2353689,Yakin,11.99707,-1.5618
2353690,Yakin,11.8,-1.15
2353691,Yakin,11.63333,-1.15
2353692,Yaké,12.9444,-1.71017
2353693,Yaké,12.92876,-1.75926
2353694,Yakala,11.51667,-0.71667
2353695,Sabrabinatenga,12.28805,-0.2017
2353696,Yaka,13.39029,-1.26827
2353697,Yaka,13.20396,0.09986
2353698,Yaïo,12.91667,-3.46667
2353699,Yaika,12.2,-0.8
2353700,Yahotinga,12.73333,-0.55
2353701,Yaguen,13.14533,-0.38644
2353702,Yaguéma,12.40969,-1.62415
2353703,Yagou,12.23333,0.35
2353704,Yagamaro,13.40593,0.46088
2353705,Yagaha,13.41787,0.53948
2353706,Yagabtenga,12.91667,-0.71667
2353707,Yadoumyéla,12.75,-2.46667
2353708,Yada,12.02315,-1.98355
2353709,Yaktenga,12.58361,-1.84028
2353710,Yabouinia,10.53333,-5.08333
2353711,Yabonsongo,13.65743,-2.4012
2353712,Yabogo,13.37551,-2.56849
2353713,Forêt Classée de Yabo,12.98801,-1.50561
2353714,Yabo,12.97635,-1.49542
2353715,Yabé,11.58333,-3.78333
2353716,Yabansé,11.15,-0.68333
2353717,Yaba,12.87029,-2.85713
2353718,Ya,11.5,-2.51667
2353719,Woyboyré,12.78333,-0.01667
2353720,Wouskongo,12.3,-0.95
2353721,Woumtenga,12.24661,-1.67012
2353722,Woumitoguen,12.31667,-0.85
2353723,Oulmasoutou,13.69958,0.16695
2353724,Woula,13.096,-4.0533
2353725,Ouokinga Ouobilo,13.6427,-2.67
2353726,Woté,12.83333,-3.65
2353727,Wortoré,13.6774,0.25233
2353728,Woroma,11.75089,-4.39108
2353729,Worokui,12.31667,-3.51667
2353730,Worobgo,12.07062,-1.24429
